"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Romania","ROU","Mobile account, income, richest 60% (% ages 15+)","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7017798","","",
"Romania","ROU","Mobile account, income, poorest 40% (% ages 15+)","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1062626","","",
"Romania","ROU","Mobile account, female (% age 15+)","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3660169","","",
"Romania","ROU","Mobile account, male (% age 15+)","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5683252","","",
"Romania","ROU","Mobile account (% age 15+)","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462934","","",
"Romania","ROU","Account, income, richest 60% (% ages 15+) [ts]","WP_time_10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.89214","","","70.72015","","",
"Romania","ROU","Account, income, poorest 40% (% ages 15+) [ts]","WP_time_10.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.14468","","","46.07875","","",
"Romania","ROU","Account, secondary education or more (% ages 15+) [ts]","WP_time_10.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.46606","","","72.25997","","",
"Romania","ROU","Account, primary education or less (% ages 15+) [ts]","WP_time_10.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.88733","","","34.5522","","",
"Romania","ROU","Account, older adults (% ages 25+) [ts]","WP_time_10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.12915","","","61.94814","","",
"Romania","ROU","Account, young adults (% ages 15-24) [ts]","WP_time_10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.04285","","","55.03464","","",
"Romania","ROU","Account, female (% age 15+) [ts]","WP_time_10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.06061","","","56.86905","","",
"Romania","ROU","Account, male (% age 15+) [ts]","WP_time_10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.53238","","","65.15222","","",
"Romania","ROU","Account (% age 15+) [ts]","WP_time_10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.59163","","","60.83715","","",
"Romania","ROU","Account at a financial institution, income, richest 60% (% ages 15+)","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.89214","","","70.72015","","",
"Romania","ROU","Account at a financial institution, income, poorest 40% (% ages 15+)","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.14468","","","45.97249","","",
"Romania","ROU","Account at a financial institution, female (% age 15+)","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.06061","","","56.78724","","",
"Romania","ROU","Account at a financial institution, male (% age 15+)","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.53238","","","65.15222","","",
"Romania","ROU","Account at a financial institution (% age 15+)","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.59163","","","60.79454","","",
"Romania","ROU","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.34201109882768","3.19930731894723","3.08473623546624","2.50753657774","2.54008829275101","2.5","2.7","2.6","2.5","2.4","2.1","2.1","2","2.3","1.9","2","1.7","1.9","1.7","1.5","","",
"Romania","ROU","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10520","","","","","","2235","157","1480",
"Romania","ROU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","27.5","36.2264150943396","39.6449704142012","36.2768496420048","39.4904458598726","32.8740157480315","32.3293172690763","34.985835694051","36.5060240963855","30.4797742238946","27.6712328767123","24.6060606060606","27.7854195323246","24.8809523809524","19.5710455764075","20.704845814978","22.8571428571429","20.1176470588235","20.0239808153477","17.3770491803279","21.3235294117647","39.7572078907436","24.6558197747184","40.272373540856","39.7306397306397","33.888532991672","34.6280447662936","19.8928844682479","18.5977859778598","20.6916426512968","17.806197737334","14.0226035998326","14.7116644823067","13.5287789133943","10.9054886127879","10.6732753895688","12.3390845316293","12.2054330813168","10.4646051445614","10.974149290837","11.7907369628023","11.6245577456736","8.96845230669683","9.16479310200828","9.31355756742572","8.7174750360556",
"Romania","ROU","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","32.7857142857143","38.7169811320755","39.9408284023669","40.5966587112172","34.3949044585987","35.9645669291339","44.2771084337349","42.8328611898017","39.7951807228916","37.5917215428034","42.986301369863","48.7636363636364","41.4718019257221","49.6071428571429","48.1367292225201","49.9559471365639","47.5714285714286","50.0823529411765","49.9640287769784","50.4590163934426","32.8235294117647","20.6221547799697","36.4205256570713","37.0622568093385","31.7171717171717","36.6431774503523","38.643844634628","39.2501912777353","39.409594095941","36.4265129682997","40.6787998032464","40.351611552951","39.4823066841415","41.9311457772996","17.1600376576202","18.2660195943771","20.8944730452871","25.4485016475195","25.8258882082285","24.9317952477178","26.0097543786148","25.5943090452281","29.080157865746","29.2360638523538","31.4115580968001","30.8608086137059",
"Romania","ROU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85082158365157","3.28632695681475","1.52979098478155","1.44769225555602","1.06551601278377","1.61873316418046","1.28868459077696","1.23693738548149","1.2056730492055","1.80612774344681","3.54543345760789","5.87019285287008","6.14251539360229","3.80073674826586","3.96817712469605","3.72474565997035","3.84222259067828","4.82748591683237","3.47980265968192","6.68740277928491","9.10875720138769","10.9467792219552","10.1835860160158","6.3750830349546","5.71952223044771","6.44905814350025","7.501692835836","",
"Romania","ROU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210895000","140186000","48561819","46199496","39460188","74538000","79015000","76790000","79795000","120868007","236571000","470274000","566746000","427421992","576961184","719984879","847478378","1236505248","1117736473","2535246888","2923197033","4248559713","4966343987","2860651841","2857606634","3439802540","3536097090","",
"Romania","ROU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","280000000","265000000","338000000","419000000","471000000","508000000","498000000","706000000","830000000","1063000000","1095000000","825000000","727000000","840000000","746000000","681000000","770000000","850000000","834000000","610000000","680000000","659000000","799000000","1028000000","1485000000","1561000000","1519000000","1307000000","1355000000","1735000000","2033000000","2389000000","3052000000","3718000000","9641786971.95851","12241860536.3716","13045871679.376","16317954681.4639","11758602889.7887","10348272832.1981","12038389329.8256","12608107298.3816","17736715133.0806","19922440676.7057","18376277754.6202","19849995169.8449",
"Romania","ROU","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","36.0714285714286","20.7547169811321","15.9763313609467","18.6157517899761","22.2929936305733","27.1653543307087","18.4738955823293","17.4220963172804","19.277108433735","27.7516462841016","24.5662100456621","21.2121212121212","26.1348005502063","20","26.9436997319035","23.7885462555066","24.2857142857143","24.2352941176471","24.4604316546763","26.5573770491803","42.2058823529412","37.3292867981791","35.2941176470588","15.9533073929961","23.1649831649832","24.7277386290839","21.724818959842","35.6541698546289","37.859778597786","35.3314121037464","35.0713231677324","41.3143574717455","42.562254259502","41.8504572350726","70.5591873151472","69.9220108038369","62.3132572783393","59.0980658246199","61.7160902547148","62.4948210417003","59.4916194081788","59.0427766222908","59.3764532869068","59.5663742451391","57.4015950952423","58.5903424129144",
"Romania","ROU","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.9701513179","77.6461047193","80.9749611601","79.7119934107","81.8107288678","100","109.4300375414","133.2748302341","169.6341254462","226.212554687","265.9198957663","311.7357844576","388.8615560685","475.7497898575","389.6194039484","476.1734183706","605.4119239522","555.5226074108","632.3000400308","669.7796404605","581.8884662135","",
"Romania","ROU","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0659184992862","12.9494491118334","9.41294889278525","9.4044237138852","9.61880592329025","8.46350129969237","8.31816918974764","10.0774710952429","12.0534064918541","8.11494414389096","7.2284745156775","8.84782387799253","11.4187934575223","13.9505956508416","15.1026363996635","16.1008591269578","17.8894281229104","14.1910855038815","15.8928690430692","15.8914994771006","15.6261321511352","14.5905184173521","13.2737067007942","","",
"Romania","ROU","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","712700000","788290000","813210000","908620000","998830000","1098420000","1177410000","1376030000","1450980000","1621780000","1841500000","2097880000","2601990000","3696910000","4866000000","5339320000","6137730000","7020840000","8076610000","9724070000","12056000000","11180110000","10122450000","10090180000","10720070000","11218430000","10155082294.87","11123450360.65","11969325906.04","11089982980.47","5870984700.113","4318146300.742","4366845342.368","4892100000","6159600000","8061100000","7644400000","8386600000","8314570000","8508980000","10366530000","11386400000","13874020000","17615970000","23475510000","27644525700","32479013400","40558685400","49698953700","40672524300","48503037300","62076371800","56992998100","64502725200","68655707900","","",
"Romania","ROU","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","59.2591553248211","62.4326072891956","59.6709337071605","60.0856243534151","60.3135668732417","58.7771526374247","53.7960438589786","48.5396393973969","50.1598919351059","50.4969847944851","47.5107249524844","46.4568993460064","47.0063297706755","44.559104765872","35.6218660090423","37.0543439988613","37.9646872703752","43.2724574267467","38.8567728291944","35.2997253207762","36.0875912408759","31.7052336694362","32.9226620037639","33.9472635770621","35.8278444077324","38.7058616936595","39.1384317983597","35.3330147860734","34.9512239776924","37.0287581838648","37.5678035740333","34.5863732102122","7.81800071295563","2.4938165613949","2.87843366452367","4.30710448946174","3.83548741562451","3.870460019555","1.87766775672103","1.63180545729335","1.98658567524524","2.13236843954191","1.16404618127983","1.50005932117278","1.47123534270395","1.91874046151568","2.05149057883636","0.473872607320749","0.424192230026766","0.369191985460317","0.184062493752324","0.388575706030551","0.214021202720339","0.242093802263102","0.198072533456453","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.221692156587625","0.0418627662408504","0.125428856015051","0.294952785542911","0.320374838561117","0.539866353489558","0.324440933914269","0.382259107722942","0.361824422114709","0.488968910703055","0.250882432799348","0.188761988292943","0.209455070926483","0.322160939811897","0.447595561035758","0.593333982604526","0.505235649010302","0.725126907891363","0.751552941147338","0.695182161378929","0.696831453218315","0.895518917076845","1.07039303725877","1.13546041795092","0.783017275073764","1.18046821168381","1.20983221417087","1.22893522754042","1.01843663508641","0.787196879866629","0.873788684869382","1.46152846207192","1.35795970204531","1.98892091330921","2.8313526852393","2.17836275446279","1.89681335356601","0.919323683018148","0.987663823865816","0.926903107070413","1.07335820182838","0.878240708213307","0.501296668161067","0.515611686441337","0.519860910369998","0.745342865477341","0.662526282279252","0.426741395321457","1.07091228361212","0.610515094092648","0.803311548491418","0.772775028710682","0.908476685314086","0.894822347754076","0.971572969536012","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","1.63462887610495","0.517576018977787","1.2014116894775","0.7164711320464","0.778911326251715","0.781121975200743","0.855267069245208","0.85463252981403","0.791878592399619","0.903945048033642","0.983980450719522","0.797948405056533","0.774407280581401","0.84043160369065","1.38224414303329","1.74198212506461","1.18235895029596","0.521732442271865","0.865833561358045","1.36619748726613","1.88860318513603","1.73173609204203","1.09291722853657","1.64853352467449","1.27573793827839","1.29599239822328","1.52882630249416","0.807303463300146","1.07859039860259","1.17944274784141","1.20082070727664","1.2250627078316","2.09762409287269","2.13200874879908","1.12832002078057","1.87691506121993","2.98649992151117","1.0254453533017","0.614704067678785","0.589612385973407","0.551196977194876","0.56558701608937","0.4618704600397","0.481892282968238","0.67794054314475","1.24830537425354","0.982837428183702","1.25954846652895","0.932001109713503","0.848255194231945","0.660724189328242","0.737492522074236","0.540217062207857","0.706751224210291","0.696576314815043","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","2.68696506243861","3.37439267274734","4.7785934752401","3.2653914727829","3.2417928976903","3.69348700861237","4.89888823774216","8.24836667805208","6.7533666900991","6.44908680585529","5.594895465653","4.79579384902854","5.60032897897379","5.84569275421906","9.46485819975339","11.8483252549014","11.9373123288252","12.9437503204745","11.7765993405649","10.9503530928922","12.8625580623756","21.5226862705286","19.8277096947873","16.1606631398052","12.7979574760239","12.3924648992774","11.6842749584649","10.3160436986294","11.3916189658763","8.24437694458257","7.16234194907554","8.4911819438377","12.3544563111879","9.95482512622391","9.03305409442172","8.77671781766756","8.41661870127152","7.66460782677128","5.27603953060711","4.75462393847441","4.02304339060418","3.28988969296705","3.64746482994835","3.11126778712725","3.00960447717643","2.92851470408841","2.72712871259815","2.49698354375164","2.9472220056013","3.55987321888452","2.94438303145193","3.41889601221829","4.30596280563103","4.56670426073719","4.80191043227158","","",
